2026-04-30 01:27:03 | INFO | base:run:21 | 开始分析: regression
2026-04-30 01:27:03 | ERROR | base:run:29 | 分析失败 [regression]: RegressionAnalyzer._fit_and_evaluate() got multiple values for argument 'model_type'
2026-04-30 01:27:03 | INFO | base:run:21 | 开始分析: regression
2026-04-30 01:27:03 | ERROR | base:run:29 | 分析失败 [regression]: RegressionAnalyzer._fit_and_evaluate() got multiple values for argument 'model_type'
2026-04-30 01:27:03 | INFO | base:run:21 | 开始分析: clustering
2026-04-30 01:27:03 | ERROR | base:run:29 | 分析失败 [clustering]: ClusteringAnalyzer._cluster() got multiple values for argument 'algorithm'
2026-04-30 01:27:03 | INFO | base:run:21 | 开始分析: sales_predictor
2026-04-30 01:27:03 | INFO | base:run:24 | 分析完成: sales_predictor
2026-04-30 01:27:03 | INFO | base:run:21 | 开始分析: customer_analyzer
2026-04-30 01:27:03 | ERROR | base:run:29 | 分析失败 [customer_analyzer]: Bin labels must be one fewer than the number of bin edges
2026-04-30 01:27:04 | INFO | base:run:21 | 开始分析: inventory_optimizer
2026-04-30 01:27:04 | INFO | base:run:24 | 分析完成: inventory_optimizer
2026-04-30 01:27:04 | INFO | cleaner:clean:19 | 开始数据清洗, 原始记录数: 100
2026-04-30 01:27:04 | INFO | cleaner:handle_missing_values:60 | 处理缺失值, 总计: 33, 策略: auto
2026-04-30 01:27:04 | INFO | cleaner:handle_outliers:117 | 列 'value' 处理异常值: 3 个
2026-04-30 01:27:04 | INFO | cleaner:clean:33 | 数据清洗完成, 最终记录数: 100, 移除: 0
2026-04-30 01:27:04 | INFO | cleaner:handle_missing_values:60 | 处理缺失值, 总计: 33, 策略: auto
2026-04-30 01:27:04 | INFO | cleaner:clean:19 | 开始数据清洗, 原始记录数: 100
2026-04-30 01:27:04 | INFO | cleaner:handle_missing_values:60 | 处理缺失值, 总计: 33, 策略: auto
2026-04-30 01:27:04 | INFO | cleaner:handle_outliers:117 | 列 'value' 处理异常值: 3 个
2026-04-30 01:27:04 | INFO | cleaner:clean:33 | 数据清洗完成, 最终记录数: 100, 移除: 0
2026-04-30 01:27:04 | INFO | validators:validate:34 | 数据验证完成: 通过, 检查项: 2
2026-04-30 01:27:04 | INFO | validators:validate:34 | 数据验证完成: 未通过, 检查项: 3
2026-04-30 01:27:04 | INFO | ai_cleaner:ai_detect_anomalies:22 | 使用AI算法检测异常数据
2026-04-30 01:27:04 | INFO | ai_cleaner:ai_detect_anomalies:40 | AI异常检测完成: 发现 5 个异常 (5.00%)
2026-04-30 01:27:04 | INFO | ai_cleaner:ai_impute_missing:52 | 使用AI算法智能填充缺失值
2026-04-30 01:27:04 | INFO | sales_collector:_generate_sample_data:79 | 生成销售样本数据: 731 条记录
2026-04-30 01:27:04 | INFO | base:collect:27 | 开始采集数据源: sales
2026-04-30 01:27:04 | INFO | sales_collector:_generate_sample_data:79 | 生成销售样本数据: 731 条记录
2026-04-30 01:27:04 | INFO | base:collect:31 | 数据采集完成: sales, 记录数: 731
2026-04-30 01:27:04 | INFO | base:collect:27 | 开始采集数据源: sales
2026-04-30 01:27:04 | INFO | sales_collector:_generate_sample_data:79 | 生成销售样本数据: 731 条记录
2026-04-30 01:27:04 | INFO | base:collect:31 | 数据采集完成: sales, 记录数: 731
2026-04-30 01:27:04 | INFO | inventory_collector:_generate_sample_data:65 | 生成库存样本数据: 200 条记录
2026-04-30 01:27:04 | INFO | customer_collector:_generate_sample_data:59 | 生成客户样本数据: 500 条记录
2026-04-30 01:27:04 | INFO | generator:generate:29 | 开始生成报告, 模板: sales, 格式: html
2026-04-30 01:27:04 | INFO | generator:generate:42 | 报告已生成: C:\Users\31517\AppData\Local\Temp\pytest-of-31517\pytest-0\test_generate_report0\report_sales_20260430_012704.html
2026-04-30 01:27:18 | INFO | base:run:21 | 开始分析: regression
2026-04-30 01:27:18 | ERROR | base:run:29 | 分析失败 [regression]: RegressionAnalyzer._fit_and_evaluate() got multiple values for argument 'model_type'
2026-04-30 01:29:05 | INFO | base:run:21 | 开始分析: regression
2026-04-30 01:29:05 | INFO | regression:_fit_and_evaluate:100 | 回归分析完成: R²=-0.0344, RMSE=1431.2121
2026-04-30 01:29:05 | INFO | base:run:24 | 分析完成: regression
2026-04-30 01:29:05 | INFO | base:run:21 | 开始分析: regression
2026-04-30 01:29:06 | INFO | regression:_fit_and_evaluate:100 | 回归分析完成: R²=-0.4248, RMSE=1679.6949
2026-04-30 01:29:06 | INFO | base:run:24 | 分析完成: regression
2026-04-30 01:29:06 | INFO | base:run:21 | 开始分析: clustering
2026-04-30 01:29:06 | INFO | clustering:_cluster:116 | 聚类分析完成: 算法=kmeans, 簇数=3, 轮廓系数=0.3204
2026-04-30 01:29:06 | INFO | base:run:24 | 分析完成: clustering
2026-04-30 01:29:06 | INFO | base:run:21 | 开始分析: sales_predictor
2026-04-30 01:29:06 | INFO | base:run:24 | 分析完成: sales_predictor
2026-04-30 01:29:06 | INFO | base:run:21 | 开始分析: customer_analyzer
2026-04-30 01:29:06 | ERROR | base:run:29 | 分析失败 [customer_analyzer]: Bin labels must be one fewer than the number of bin edges
2026-04-30 01:29:07 | INFO | base:run:21 | 开始分析: inventory_optimizer
2026-04-30 01:29:07 | INFO | base:run:24 | 分析完成: inventory_optimizer
2026-04-30 01:29:07 | INFO | cleaner:clean:19 | 开始数据清洗, 原始记录数: 100
2026-04-30 01:29:07 | INFO | cleaner:handle_missing_values:60 | 处理缺失值, 总计: 33, 策略: auto
2026-04-30 01:29:07 | INFO | cleaner:handle_outliers:117 | 列 'value' 处理异常值: 3 个
2026-04-30 01:29:07 | INFO | cleaner:clean:33 | 数据清洗完成, 最终记录数: 100, 移除: 0
2026-04-30 01:29:07 | INFO | cleaner:remove_duplicates:48 | 移除重复记录: 5
2026-04-30 01:29:07 | INFO | cleaner:handle_missing_values:60 | 处理缺失值, 总计: 33, 策略: auto
2026-04-30 01:29:07 | INFO | cleaner:clean:19 | 开始数据清洗, 原始记录数: 100
2026-04-30 01:29:07 | INFO | cleaner:handle_missing_values:60 | 处理缺失值, 总计: 33, 策略: auto
2026-04-30 01:29:07 | INFO | cleaner:handle_outliers:117 | 列 'value' 处理异常值: 3 个
2026-04-30 01:29:07 | INFO | cleaner:clean:33 | 数据清洗完成, 最终记录数: 100, 移除: 0
2026-04-30 01:29:07 | INFO | validators:validate:34 | 数据验证完成: 通过, 检查项: 2
2026-04-30 01:29:07 | INFO | validators:validate:34 | 数据验证完成: 未通过, 检查项: 3
2026-04-30 01:29:07 | INFO | ai_cleaner:ai_detect_anomalies:22 | 使用AI算法检测异常数据
2026-04-30 01:29:07 | INFO | ai_cleaner:ai_detect_anomalies:40 | AI异常检测完成: 发现 5 个异常 (5.00%)
2026-04-30 01:29:07 | INFO | ai_cleaner:ai_impute_missing:52 | 使用AI算法智能填充缺失值
2026-04-30 01:29:07 | INFO | sales_collector:_generate_sample_data:79 | 生成销售样本数据: 731 条记录
2026-04-30 01:29:07 | INFO | base:collect:27 | 开始采集数据源: sales
2026-04-30 01:29:07 | INFO | sales_collector:_generate_sample_data:79 | 生成销售样本数据: 731 条记录
2026-04-30 01:29:07 | INFO | base:collect:31 | 数据采集完成: sales, 记录数: 731
2026-04-30 01:29:07 | INFO | base:collect:27 | 开始采集数据源: sales
2026-04-30 01:29:07 | INFO | sales_collector:_generate_sample_data:79 | 生成销售样本数据: 731 条记录
2026-04-30 01:29:07 | INFO | base:collect:31 | 数据采集完成: sales, 记录数: 731
2026-04-30 01:29:07 | INFO | inventory_collector:_generate_sample_data:65 | 生成库存样本数据: 200 条记录
2026-04-30 01:29:07 | INFO | customer_collector:_generate_sample_data:59 | 生成客户样本数据: 500 条记录
2026-04-30 01:29:07 | INFO | generator:generate:29 | 开始生成报告, 模板: sales, 格式: html
2026-04-30 01:29:07 | INFO | generator:generate:42 | 报告已生成: C:\Users\31517\AppData\Local\Temp\pytest-of-31517\pytest-1\test_generate_report0\report_sales_20260430_012907.html
2026-04-30 01:29:15 | INFO | base:run:21 | 开始分析: customer_analyzer
2026-04-30 01:29:15 | ERROR | base:run:29 | 分析失败 [customer_analyzer]: Bin labels must be one fewer than the number of bin edges
2026-04-30 01:30:00 | INFO | base:run:21 | 开始分析: regression
2026-04-30 01:30:00 | INFO | regression:_fit_and_evaluate:100 | 回归分析完成: R²=-0.0344, RMSE=1431.2121
2026-04-30 01:30:00 | INFO | base:run:24 | 分析完成: regression
2026-04-30 01:30:00 | INFO | base:run:21 | 开始分析: regression
2026-04-30 01:30:00 | INFO | regression:_fit_and_evaluate:100 | 回归分析完成: R²=-0.4248, RMSE=1679.6949
2026-04-30 01:30:00 | INFO | base:run:24 | 分析完成: regression
2026-04-30 01:30:00 | INFO | base:run:21 | 开始分析: clustering
2026-04-30 01:30:01 | INFO | clustering:_cluster:116 | 聚类分析完成: 算法=kmeans, 簇数=3, 轮廓系数=0.3204
2026-04-30 01:30:01 | INFO | base:run:24 | 分析完成: clustering
2026-04-30 01:30:01 | INFO | base:run:21 | 开始分析: sales_predictor
2026-04-30 01:30:01 | INFO | base:run:24 | 分析完成: sales_predictor
2026-04-30 01:30:01 | INFO | base:run:21 | 开始分析: customer_analyzer
2026-04-30 01:30:01 | ERROR | base:run:29 | 分析失败 [customer_analyzer]: Cannot convert non-finite values (NA or inf) to integer
2026-04-30 01:30:01 | INFO | base:run:21 | 开始分析: inventory_optimizer
2026-04-30 01:30:01 | INFO | base:run:24 | 分析完成: inventory_optimizer
2026-04-30 01:30:01 | INFO | cleaner:clean:19 | 开始数据清洗, 原始记录数: 100
2026-04-30 01:30:01 | INFO | cleaner:handle_missing_values:60 | 处理缺失值, 总计: 33, 策略: auto
2026-04-30 01:30:01 | INFO | cleaner:handle_outliers:117 | 列 'value' 处理异常值: 3 个
